device_type time pose pose-last_pose vel comanded_vel Nocap_C_vel
H 2295.495614672 3.0 0.0 0.0 -189.87333333333333 -100
E 2295.541026626 3.0 0.0 -61.22167359862944 -409.7266666666667 -100
H 2295.544704076 3.0 0.0 0.0 -189.87333333333333 -100
E 2295.590142462 4.0 0.0 20.36003214928219 -419.72 -100
H 2295.593821144 3.0 0.0 0.0 -179.88000000000002 -100
E 2295.648831302 4.0 0.0 0.0 -399.73333333333335 -100
H 2295.652422456 3.0 0.0 0.0 -189.87333333333333 -100
E 2295.697833514 4.0 0.0 0.0 -389.74 -100
H 2295.701542912 3.0 0.0 0.0 -179.88000000000002 -100
E 2295.746835684 4.0 0.0 0.0 -329.78000000000003 -100
H 2295.750515220 3.0 0.0 0.0 -89.94000000000001 -89.94000000000001
E 2295.795951926 4.0 0.0 0.0 -289.8066666666667 -100
H 2295.799542492 4.0 0.0 20.396810983130695 0 0
E 2295.854640962 4.0 0.0 0.0 -249.83333333333334 -100
H 2295.858232382 5.0 0.0 17.03870973345432 0 0
E 2295.903643328 4.0 0.0 0.0 -199.86666666666667 -100
H 2295.907234636 6.0 0.0 20.40722453306586 0 0
E 2295.952645106 4.0 0.0 0.0 -159.89333333333335 -100
H 2295.956338572 6.0 0.0 0.0 59.96000000000001 59.96000000000001
E 2296.021762370 4.0 0.0 0.0 -129.91333333333336 -100
H 2296.025261614 10.0 0.0 58.035743691983704 219.85333333333335 100
E 2296.080450146 4.0 0.0 0.0 -99.93333333333334 -99.93333333333334
H 2296.083950174 18.0 0.0 136.31276691728766 329.78000000000003 100
E 2296.129452260 4.0 0.0 0.0 -39.973333333333336 -39.973333333333336
H 2296.133043386 28.0 0.0 203.69414818629028 329.78000000000003 100
E 2296.178454584 4.0 0.0 0.0 0 0
H 2296.182147420 37.0 0.0 183.28433056948708 259.8266666666667 100
E 2296.227571750 4.0 0.0 0.0 0 0
H 2296.231162862 45.0 0.0 163.21387043723675 219.85333333333335 100
E 2296.286259400 5.0 0.0 17.039360069885156 0 0
H 2296.289977464 53.0 0.0 136.0206433089894 169.88666666666668 100
E 2296.335261878 6.0 0.0 20.407131247464392 29.980000000000004 29.980000000000004
H 2296.338853564 58.0 0.0 102.29948788846391 79.94666666666667 79.94666666666667
E 2296.384264370 8.0 0.0 40.81425083442727 229.8466666666667 100
H 2296.387855104 62.0 0.0 81.6300875440825 0 0
E 2296.433381102 12.0 0.0 81.43864294532969 349.7666666666667 100
H 2296.437059742 64.0 0.0 40.646574820859904 0 0
E 2296.492069116 18.0 0.0 102.2355263207152 419.72 100
H 2296.495747714 64.0 0.0 0.0 0 0
E 2296.541071300 24.0 0.0 122.44352210895308 439.7066666666667 100
