device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value
H 1830.528767302 95.0 19.0 41.0 20 20 1763
E 1830.584032974 92.0 7.0 4.0 20 20 1764
H 1830.587486830 92.0 19.0 39.0 20 20 1765
E 1830.633035648 93.0 7.0 4.0 20 20 1765
H 1830.636362048 92.0 19.0 38.0 20 20 1766
E 1830.682181570 93.0 7.0 4.0 20 20 1766
H 1830.685508698 92.0 18.0 38.0 20 20 1766
E 1830.731156104 93.0 7.0 4.0 20 20 1767
H 1830.734622924 92.0 18.0 39.0 20 20 1768
E 1830.789844538 93.0 7.0 4.0 20 20 1768
H 1830.793315516 89.0 19.0 43.0 20 20 1768
E 1830.838943826 93.0 7.0 4.0 20 20 1768
H 1830.842271808 86.0 23.0 48.0 20 20 1767
