"device type" time pose "pose - last_pose" vel "comanded vel" "Nocap C_vel"
E 1410.422987376 11.0 0.0 68.15532667104787 339.77333333333337 100
H 1410.426665918 4.0 0.0 0.0 -100 -100
E 1410.471989574 16.0 0.0 102.03623927252397 409.7266666666667 100
H 1410.475756610 3.0 0.0 -20.370460453099778 -100 -100
E 1410.520991730 22.0 0.0 122.4435920734298 449.70000000000005 100
H 1410.524771338 4.0 0.0 20.40203099771394 -100 -100
E 1410.570107538 27.0 0.0 101.80021878110011 469.6866666666667 100
H 1410.573784834 4.0 0.0 0.0 -100 -100
E 1410.628796644 34.0 0.0 119.27256141886127 429.71333333333337 100
H 1410.632472960 4.0 0.0 0.0 -99.93333333333334 -99.93333333333334
E 1410.677798786 39.0 0.0 102.03635587998518 409.7266666666667 100
H 1410.681477580 4.0 0.0 0.0 -89.94000000000001 -89.94000000000001
E 1410.726801180 43.0 0.0 81.62866491804937 409.7266666666667 100
H 1410.730568062 3.0 0.0 -20.37054759418291 -69.95333333333333 -69.95333333333333
E 1410.775916764 48.0 0.0 101.80068305816786 439.7066666666667 100
H 1410.779696932 3.0 0.0 0.0 -69.95333333333333 -69.95333333333333
E 1410.834606136 53.0 0.0 85.19430059653764 489.67333333333335 100
H 1410.838284734 3.0 0.0 0.0 -59.96000000000001 -59.96000000000001
E 1410.883608222 58.0 0.0 102.03647248818635 519.6533333333334 100
H 1410.887287254 3.0 0.0 0.0 -29.980000000000004 -29.980000000000004
E 1410.932610588 63.0 0.0 102.0358894507926 519.6533333333334 100
H 1410.936201000 3.0 0.0 0.0 -19.986666666666668 -19.986666666666668
E 1411.002278794 67.0 0.0 57.41499931837317 499.6666666666667 100
H 1411.005691336 3.0 0.0 0.0 0 0
E 1411.060415516 73.0 0.0 103.20499322274982 499.6666666666667 100
H 1411.064013152 4.0 0.0 17.146242496979053 0 0
E 1411.109417602 78.0 0.0 102.03647248818635 509.66 100
H 1411.113007454 4.0 0.0 0.0 0 0
E 1411.158419856 82.0 0.0 81.62889813188468 489.67333333333335 100
H 1411.162011276 4.0 0.0 0.0 0 0
E 1411.207534614 86.0 0.0 81.44191609358867 479.68000000000006 100
H 1411.211124774 4.0 0.0 0.0 0 0
E 1411.266224742 91.0 0.0 85.1932031907166 519.6533333333334 100
H 1411.269859674 4.0 0.0 0.0 0 0
E 1411.315227122 95.0 0.0 81.62868823952444 529.6466666666668 100
H 1411.318729852 4.0 0.0 0.0 0 0
E 1411.364229320 99.0 0.0 81.62899141764042 539.64 100
H 1411.367732666 4.0 0.0 0.0 0 0
E 1411.413344120 103.0 0.0 81.44184644975789 589.6066666666667 100
H 1411.417026204 4.0 0.0 0.0 0 0
E 1411.472034388 107.0 0.0 68.15439997627824 619.5866666666667 100
H 1411.475756036 4.0 0.0 0.0 0 0
E 1411.521036488 111.0 0.0 81.62915466917293 609.5933333333334 100
H 1411.524626200 4.0 0.0 0.0 0 0
