,time,psi_gyro_E,filtered_gyro_z_E,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,del_psi_gyro_E,del_gyro_z_deg_E,psi_gyro_H,filtered_gyro_z_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,del_psi_gyro_H,del_gyro_z_deg_H
1133,497.085301846,-10.041310411762115,-10.27530315134099,10.0,5.0,50,25,-0.05574491346051502,0.3300874432584209,-18.485954276561735,-47.50891385273458,100.0,54.0,50,25,-0.29987122189713844,0.9593066948851146
1134,497.143990378,-10.095199641569083,-9.954020464736443,9.0,5.0,50,25,-0.053889229806967975,0.3212826866045475,-18.778317072605102,-46.54943861414506,100.0,57.0,50,25,-0.292362796043367,0.9594752385895191
1135,497.192992576,-10.147233187722751,-9.640704982996159,8.0,5.0,50,25,-0.05203354615366784,0.31331548174028434,-19.063171442795593,-45.58981086455981,100.0,60.0,50,25,-0.28485437019049087,0.9596277495852519
1136,497.2911111,-10.197411050223051,-9.334598826378866,6.0,5.0,50,25,-0.05017786250030021,0.3061061566172931,-19.340517387132575,-44.63004511157393,100.0,57.0,50,25,-0.27734594433698234,0.9597657529858807
1137,497.349799828,-10.245733229070016,-9.035016208394854,5.0,5.0,50,25,-0.04832217884696455,0.29958261798401153,-19.610354905615736,-43.67015448275131,93.0,52.0,50,25,-0.2698375184831612,0.9598906288226203
1138,497.398802026,-10.29219972426331,-8.741336577940931,5.0,5.0,50,25,-0.04646649519329493,0.29367963045392287,-19.87268399824527,-42.710150856894145,83.0,50.0,50,25,-0.2623290926295354,0.960003625857162
1139,497.447804336,-10.336810535803433,-8.45299841378857,4.0,5.0,50,25,-0.0446108115401227,0.2883381641523606,-20.12750466502166,-41.75004498283722,76.0,50.0,50,25,-0.25482066677638926,0.9601058740569286
1140,497.497473368,-10.379565663690252,-8.169493609372699,4.0,5.0,50,25,-0.04275512788681901,0.28350480441587145,-20.374816905944563,-40.789846586933756,70.0,49.0,50,25,-0.24731224092290205,0.9601983959034612
1141,497.555609068,-10.420465107923432,-7.8903623917256285,4.0,5.0,50,25,-0.040899444233179594,0.2791312176470706,-20.61462072101332,-39.82956447031648,65.0,46.0,50,25,-0.2398038150687576,0.9602821166172788
1142,497.604611336,-10.459508868502967,-7.615188723747114,3.0,5.0,50,25,-0.03904376057953485,0.27517366797851484,-20.846916110229024,-38.86920659691131,71.0,45.0,50,25,-0.2322953892157038,0.9603578734051652
1143,497.653613576,-10.496696945429214,-7.34359614383377,3.0,5.0,50,25,-0.03718807692624715,0.27159257991334407,-21.071703073591177,-37.90878017307776,97.0,45.0,50,25,-0.22478696336215265,0.9604264238335531
1144,497.702730014,-10.53202933870181,-7.075244001262721,3.0,6.0,50,25,-0.0353323932725953,0.26835214257104845,-21.288981611098823,-36.94829171966886,100.0,45.0,50,25,-0.2172785375076458,0.9604884534088995
1145,497.761418546,-10.565506048321232,-6.809824049684654,3.0,7.0,50,25,-0.03347670961942306,0.2654199515780675,-21.498751722753653,-35.98774713724432,100.0,44.0,50,25,-0.20977011165483006,0.9605445824245393
1146,497.81042059,-10.597127074287478,-6.5470573646604215,3.0,7.0,50,25,-0.0316210259662455,0.26276668502423206,-21.70101340855458,-35.02715176507122,100.0,45.0,50,25,-0.20226168580092718,0.9605953721731026
1147,497.859422984,-10.626892416599926,-6.286691554415631,3.0,7.0,50,25,-0.029765342312447984,0.26036581024479055,-21.89576666850192,-34.06651043452116,100.0,46.0,50,25,-0.1947532599473405,0.9606413305500539
1148,497.908539366,-10.654802075259338,-6.028498235924657,3.0,7.0,50,25,-0.02790965865941253,0.2581933184909744,-22.083011502596392,-33.105827517381364,100.0,47.0,50,25,-0.18724483409447146,0.960682917139799
1149,497.967227856,-10.680856050265145,-5.772270751078625,3.0,7.0,50,25,-0.026053975005806862,0.25622748484603175,-22.26274791083635,-32.145106969572225,100.0,48.0,50,25,-0.1797364082399575,0.9607205478091387
1150,498.036230054,-10.705054341617572,-5.51782210010563,3.0,7.0,50,25,-0.024198291352426793,0.2544486509729946,-22.434975893223527,-31.184352370708535,100.0,46.0,50,25,-0.1722279823871773,0.9607545988636907
1151,498.085232434,-10.727396949316963,-5.264983071572334,3.0,7.0,50,25,-0.022342607699391337,0.25283902853329643,-22.59969544975707,-30.22356695989415,100.0,43.0,50,25,-0.16471955653354442,0.9607854108143847
1152,498.134348816,-10.747883873363119,-5.013600550269608,2.0,7.0,50,25,-0.020486924046155153,0.25138252130272587,-22.75690658043721,-29.26275366811318,100.0,41.0,50,25,-0.15721113068013892,0.9608132917809691
1153,498.193037264,-10.766515113755498,-4.763535986060798,8.0,8.0,50,25,-0.018631240392378956,0.2500645642088095,-22.906609285264388,-28.3019151475411,100.0,89.0,50,25,-0.1497027048271775,0.9608385205720822
1154,498.242039602,-10.783290670494434,-4.514664008380256,13.0,9.0,50,25,-0.016775556738936714,0.24887197768054214,-23.048803564237446,-27.34105379806407,100.0,100.0,50,25,-0.14219427897305792,0.9608613494770282
1155,498.291041786,-10.798210543579469,-4.266871172527517,14.0,10.0,50,25,-0.014919873085034396,0.24779283585273948,-23.183489417357034,-26.380171791280965,100.0,100.0,50,25,-0.13468585311958847,0.9608820067831054
1156,498.340158168,-10.811274733011267,-4.020054825220481,14.0,12.0,50,25,-0.013064189431798212,0.2468163473070355,-23.310666844622318,-25.41927109221543,100.0,100.0,50,25,-0.12717742726528414,0.9609006990655367
1157,498.398846896,-10.822483238789841,-3.77412207806238,14.0,13.0,50,25,-0.011208505778574462,0.24593274715810143,-23.430335846034744,-24.458353478969194,100.0,91.0,50,25,-0.11966900141242576,0.9609176132462345
1158,498.447849108,-10.831836060915338,-3.5289888786580144,14.0,14.0,50,25,-0.009352822125496374,0.2451331994043655,-23.542496421592954,-23.497420560502736,100.0,84.0,50,25,-0.11216057555821024,0.9609329184664581
1159,498.496851124,-10.839333199387191,-3.284579170089576,14.0,15.0,50,25,-0.007497138471853404,0.24440970856843824,-23.64714857129887,-22.536473792723964,100.0,79.0,50,25,-0.10465214970591674,0.960946767778772
1160,498.545967506,-10.844974654205679,-3.0408241303478802,14.0,15.0,50,25,-0.005641454818487546,0.24375503974169588,-23.74429229515044,-21.57551449304783,100.0,74.0,50,25,-0.09714372385156977,0.9609592996761336
1161,498.60465608,-10.848760425371143,-2.797661484111749,15.0,16.0,50,25,-0.0037857711654645243,0.24316264623613115,-23.83392759314891,-20.614543853569327,100.0,72.0,50,25,-0.08963529799846981,0.9609706394785036
1162,498.653658544,-10.850690512882771,-2.5550348799952918,17.0,17.0,50,25,-0.0019300875116279315,0.2426266041164573,-23.916054465293662,-19.653562952987368,100.0,73.0,50,25,-0.08212687214475167,0.9609809005819585
1163,498.702660644,-10.850764916740953,-2.312893327033653,17.0,19.0,50,25,-7.440385818213713e-05,0.24214155296163886,-23.990672911585424,-18.69257276738824,100.0,74.0,50,25,-0.07461844629176184,0.9609901855991296
1164,498.751776942,-10.848983636946027,-2.071190684773621,17.0,22.0,50,25,0.0017812797949261494,0.2417026422600319,-24.0577829320223,-17.73157418000819,100.0,73.0,50,25,-0.06711002043687486,0.9609985873800468
1165,498.810465586,-10.845346673497334,-1.8298852018689364,18.0,24.0,50,25,0.0036369634486934643,0.24130548290468457,-24.117384526606322,-16.77056799006574,100.0,75.0,50,25,-0.05960159458402359,0.9610061899424522
1166,498.859467938,-10.839854026395214,-1.588939098566943,19.0,26.0,50,25,0.005492647102119719,0.2409461033019935,-24.169477695336425,-15.809554920754612,100.0,82.0,50,25,-0.052093168730102946,0.961013069311127
1167,498.90847001,-10.832505695640057,-1.348318188910861,20.0,30.0,50,25,0.007348330755156951,0.24062090965608185,-24.21406243821319,-14.848535626474085,100.0,90.0,50,25,-0.04458474287676495,0.9610192942805273
1168,498.957586434,-10.823301681231477,-1.1079915388805872,21.0,34.0,50,25,0.009204014408579653,0.24032665003027387,-24.25113875523678,-13.887510699373612,100.0,94.0,50,25,-0.03707631702359038,0.9610249271004729
